City,State,County,Rally
Richmond,VA,Richmond City,1
Moon,PA,Allegheny County,1
Tampa,FL,Hillsborough County,1
Greensboro,NC,Guilford County,1
Atlanta,GA,Cobb County,1
Dallas,TX,Dallas County,1
The Woodlands,TX,Montgomery County,1
Las Vegas,NV,Clark County,1
Phoenix,AZ,Maricopa County,1
Saint Clairsville,OH,Belmont County,1
Bangor,ME,Penobscot County,1
Raleigh,NC,Wake County,1
Cincinnati,OH,Hamilton County,1
Westfield,IN,Hamilton County,1
Winston Salem,NC,Forsyth County,1
Scranton,PA,Lackawanna County,1
Toledo,OH,Lucas County,1
Cedar Rapids,IA,Linn County,1
Davenport,FL,Polk County,1
Colorado Springs,CO,El Paso County,1
Denver,CO,Denver County,1
Columbus,OH,Franklin County,1
Mechanicsburg,PA,Cumberland County,1
Ashburn,VA,Loudoun County,1
Daytona Beach,FL,Volusia County,1
Jacksonville,FL,Duval County,1
Portland,ME,Cumberland County,1
Des Moines,IA,Polk County,1
Green Bay,WI,Brown County,1
Windham,NH,Rockingham County,1
Fayetteville,NC,Cumberland County,1
Wilmington,NC,New Hanover County,1
Sunrise,FL,Broward County,1
Kissimmee,FL,Osceola County,1
Altoona,PA,Blair County,1
Erie,PA,Erie County,1
West Bend,WI,Washington County,1
Charlotte,NC,Mecklenburg County,1
Dimondale,MI,Eaton County,1
Fredericksburg,VA,Fredericksburg City,1
Akron,OH,Summit County,1
Austin,TX,Travis County,1
Tampa,FL,Hillsborough County,1
Jackson,MS,Hinds County,1
Manchester,NH,Hillsborough County,1
Everett,WA,Snohomish County,1
Phoenix,AZ,Maricopa County,1
Wilmington,OH,Clinton County,1
Greenville,NC,Pitt County,1
Pensacola,FL,Escambia County,1
Asheville,NC,Buncombe County,1
Clive,IA,Polk County,1
Canton,OH,Stark County,1
Laconia,NH,Belknap County,1
Miami,FL,Miami-Dade County,1
Colorado Springs,CO,El Paso County,1
Estero,FL,Lee County,1
High Point,NC,Guilford County,1
Kenansville,NC,Duplin County,1
Toledo,OH,Lucas County,1
Chester,PA,Delaware County,1
Roanoke,VA,Roanoke City,1
Melbourne,FL,Brevard County,1
Council Bluffs,IA,Pottawattamie County,1
Waukesha,WI,Waukesha County,1
Bedford,NH,Hillsborough County,1
Novi,MI,Oakland County,1
Manheim,PA,Lancaster County,1
Pueblo,CO,Pueblo County,1
Loveland,CO,Larimer County,1
Prescott Valley,AZ,Yavapai County,1
Henderson,NV,Clark County,1
Reno,NV,Washoe County,1
Ambridge,PA,Beaver County,1
Wilkes Barre,PA,Luzerne County,1
Panama City Beach,FL,Bay County,1
Ocala,FL,Marion County,1
Lakeland,FL,Polk County,1
West Palm Beach,FL,Palm Beach County,1
Cincinnati,OH,Hamilton County,1
Greensboro,NC,Guilford County,1
Charlotte,NC,Mecklenburg County,1
Portsmouth,NH,Rockingham County,1
Bangor,ME,Penobscot County,1
Green Bay,WI,Brown County,1
Colorado Springs,CO,El Paso County,1
Grand Junction,CO,Mesa County,1
Delaware,OH,Delaware County,1
Fletcher,NC,Henderson County,1
Johnstown,PA,Cambria County,1
Newtown,PA,Bucks County,1
Virginia Beach,VA,Virginia Beach City,1
Cleveland,OH,Cuyahoga County,1
Naples,FL,Collier County,1
Saint Augustine,FL,St. Johns County,1
Tampa,FL,Hillsborough County,1
Sanford,FL,Seminole County,1
Tallahassee,FL,Leon County,1
Kinston,NC,Lenoir County,1
Springfield,OH,Clark County,1
Toledo,OH,Lucas County,1
Geneva,NY,Ontario County,1
Manchester,NH,Hillsborough County,1
Cedar Rapids,IA,Linn County,1
Golden,CO,Jefferson County,1
Phoenix,AZ,Maricopa County,1
Las Vegas,NV,Clark County,1
Greeley,CO,Weld County,1
Albuquerque,NM,Sandoval County,1
Grand Rapids,MI,Kent County,1
Warren,MI,Macomb County,1
Eau Claire,WI,Eau Claire County,1
Orlando,FL,Orange County,1
Pensacola,FL,Escambia County,1
Miami,FL,Miami-Dade County,1
Jacksonville,FL,Duval County,1
Concord,NC,Cabarrus County,1
Selma,AL,Dallas County,1
Atkinson,NH,Rockingham County,1
Wilmington,DE,New Castle County,1
Hershey,PA,Dauphin County,1
Tampa,FL,Hillsborough County,1
Wilmington,DE,New Castle County,1
Reno,NV,Washoe County,1
Denver,CO,Denver County,1
Sioux City,IA,Woodbury County,1
Minneapolis,MN,Hennepin County,1
Sterling Heights,MI,Macomb County,1
Moon,PA,Allegheny County,1
Leesburg,FL,Lake County,1
Sarasota,FL,Sarasota County,1
Raleigh,NC,Wake County,1
Scranton,PA,Lackawanna County,1
Manchester,NH,Hillsborough County,1
Grand Rapids,MI,Kent County,1